rating,header,review
1,Банк потерял информацию о вкладе!,г взамен истекшего мной был открыт новый вклад в данном банке сроком на дней г я пришла в банк открыть еще один вклад и какого же было мое удивление когда сотрудник россельхоза сообщил что в базе банка отсутствует информация о моем вкладе якобы деньги в связи с истечением срока прошлого вклада с г просто находятся на моем текущем счету тогда же г я написала заявление с просьбой разобраться в данном вопросе приложив к нему копию своего экземпляра договора о вкладе с тех пор каждую неделю звоню в банк узнать разрешился ли мой вопрос и слышу только одно головной офис рассматривает ваше обращение теперь готовлю жалобу в центробанк я более лет занимаюсь депозитами но такое безобразие наблюдаю впервые если бы кто то другой рассказал мне что такое возможно не поверила бы
н,Внесение денег,сегодня в по местному времени в банкомат внесли деньги в сумме руб за ипотеку банкомат принял но на экране высветилась надпись при внесение денег произошел сбой деньги на карту не внеслись проверили баланс не засчитали написали заявление в офисе сказали срок рассмотрения месяц рекомендовали еще внести один платеж пока рассматривают заявление месяц чтобы не испортилась кредитная история на носу новый год праздники придется еще один платеж делать а в это время банк будет пользоваться нашими деньгами планируем подать заявление в роспотребнадзор за некачественное оказание услуг
н,Страховка двойная,обратилась в банк по вопросу рефинансирования ипотеки в этом же банке причем декабря оплатила ежегодный платеж по страховке в страховом агентстве россельхозбанка коллективное страхование выяснилось что если я в декабре же рефинансирую ипотеку то поскольку это будет новый договор придется в декабре оплатить еще раз страховку в этом же агентстве что нельзя разве подписать какое нибудь дополнительное соглашение к страховому договору о зачете платежа при рефинансировании и ведь что еще обидно по поводу суммы страхового платежа сходила в банк несколько раз и ни один сотрудник банка не сообщил что у меня есть возможность рефинансирования и лучше сначала рефинансировать а потом платить страховку
н,Прошу рефинансировать ипотечный кредит,добрый день уважаемые сотрудники банка очень вас прошу позволить мне рефинансировать ипотечный кредит по действующей программе от процентов годовых очень сложная финансовая ситуация пытаюсь любыми способами снизить ежемесячный платеж и все напрасно писала вам с просьбой снизить процентную ставку на индивидуальных условия вы отказали в рефинансировании тоже отказали я ведь являюсь вашим клиентом я не из другого банка к вам пришла почему вы не можете пойти мне навстречу получается что тем у кого с доходом все хорошо они спокойно могут рефинансироваться и платить меньше а у меня как раз в этом проблема и я нуждаюсь больше в рефинансировании может вы переводите мою просьбу высшему руководству кто действительно может принимать такие решения очень прошу помощи кредитный договор номер
1,Затягивание сроков и незаинтересованность в клиентах,столкнулась с проблемами при продаже квартиры в ипотеке если банк при выдаче ипотеки заинтересован в клиенте и делает все достаточно быстро то при продаже наоборот приходится все самостоятельно узнавать у менеджеров и напоминать им о том что у них висит заявка в итоге выматывающее в полтора месяца согласование нехватка документов у менеджеров хотя они все должны быть ипотеку же выдали после согласования необходимо ещё месяц ждать чтобы выйти на сделку первый раз сталкиваюсь с такой неорганизованностью медлительностью ощущение что менеджеры искусственно затягивают сроки и не хотят работать перед новогодними праздниками банк не заинтересован в клиентах не рекомендую
1,После закрытия счета образовалась задолженность!,добрый вечер выплатила полную задолженность которая была указана в приложения сходила в банк написала заявление на закрытие счета месяц назад на днях пришло смс о том что я должна ещё р причём в приложении показывает что карта закрыта обслуживание было бесплатным сотрудник банка когда принимал заявление на закрытие счета подтвердил что задолженности нет сегодня была в банке мне сказали что это начислены проценты на задолженность т е чтобы полностью закрыть счёт мне нужно заплатить ещё р опять же цифры эти никак не отображаются в приложении плюс ко всему на сайте бки отображаются два кредитных счета по одному договору что создаёт дополнительную финансовую нагрузку для меня как для заёмщика подскажите пожалуйста как я могу оставить жалобу далее планирую обращаться в прокуратуру и суд
1,Что за такие специалисты у вас работают?,и снова здравствуйте ооо пик наконец то после трехмесячного противостояния разблокировали счет но по платежным докам работать можно хорошо хоть так и как поясняют в банке что сотрудник центрального регионального офиса в чей компетенции находились документы по работе ооо оказывается не смог разобраться в трех свидетельствах на собственника транспорта офигеть там что за такие специалисты у вас работают вы их со строек нанимаете что ли три месяца в трех бумажках разбирался ну а теперь и еще один маразм от этого же добросовестного директор не получал зарплату за сентябрь октябрь ноябрь и декабрь по причине блокировке счета корп карта заблокирована хотим получить деньги на зарплату по чеку и тут нам в банке заявляют что снять мы можем только за один месяц а на хоз расходы спрашиваем и не поверите нам дают отказ удивляюсь ну где вы берете таких на работу ну слов просто нет смотреть на ваш банковский профессионализм деревня дураков какая то
1,"Нарушение законодательства об исполнительном производстве, банку плевать на закон",ноября года мировой суд ленинского района г красноярска судебный участок вынес судебный приказ в пользу истца б ой о м сумма взыскания рублей ответчик ооо к инн согласно справке с налогового органа я узнала что взыскатель имеет счет в россельхозбанк судебный приказ ноября г я отнесла в россельхозбанк по адресу красноярск ул перенсона его принял специалист п ва л в декабря г я взяла справку с налогового органа об остатках оборотах денежных средств на счетах взыскателя ооо к согласно справки на декабря ооо к не имеет никаких арестов от налоговой на счете в россельхозбанк ооо к с ноября года лежит сумма более рублей и никаких оборотов более нет то есть висит сумма которая должна была списаться в мою пользу согласно судебного приказа при возникновении обоснованных сомнений в подлинности исполнительных документов полученных от взыскателя или его представителя а также в достоверности представленных сведений банк вправе задержать исполнение исполнительного документа для проверки но не более чем на семь дней при проведении указанной проверки банк незамедлительно приостанавливает операции с денежными средствами на счетах должника в пределах суммы денежных средств подлежащей взысканию ч ст закона фз с ноября г уже прошло рабочих дней мой судебный приказ стоит по второй очереди то есть все сроки для проверки давно прошли а банк просто плюет на закон я позвонила по красноярскому номеру россельхозбанк и уточнила что с моим приказом ответ специалиста был таков ваш приказ принят но не списан и сказать почему его не исполняют я вам не могу за это отвечает офис в другом городе я требую от банка россельхозбанк немедленного списания денежных средств с должника в мою пользу дать расширенный ответ на каком основании банк россельхозбанк плюет на законы рф и не исполняет федеральный закон от фз об исполнительном производстве а именно задерживает исполнение моего приказа на дней вместо положенных по закону дней я подаю иск в суд на россельхозбанк так как согласно коап рф статья нарушение законодательства об исполнительном производстве неисполнение банком или иной кредитной организацией содержащегося в исполнительном документе требования о взыскании денежных средств с должника влечет наложение административного штрафа на банк или иную кредитную организацию в размере половины от денежной суммы подлежащей взысканию с должника но не более одного миллиона рублей
н,Реструктуризация,добрый день у меня действующий ипотечный кредит который оформляли в отделении г челябинска ул сони кривой а буквально два месяца назад банк подтвердил нам реструктуризацию на год мы подписали соглашение согласовали график выплат всё прошло без проблем и очень оперативно первый уменьшенный платеж прошел нормально в приложении россельхозбанка через которое мы обычно отслеживаем ситуацию с оплатами после текущего платежа который должен был состояться сняли плановый уменьшенный платеж согласно графика платежей но после этого сняли всю оставшуюся на карте сумму а сейчас за нами числиться долг в кол центре подтвердили что долг существуют и пояснили что в банке иной график платежей который сильно разнится с тем который у меня на руках меня соединили с отделом по задолженностям специалист которого сказала что у меня задолженностей перед банком на нет и порекомендовала обратиться в отделение где оформляли ипотечный кредит к сожалению я проживаю в другом городе лично прийти в отделение не могу а на звонки и письма специалисты отделения не отвечают большая просьба помочь разобраться в ситуации
н,Ипотека,в году брала ипотеку в ао россельхозбанк по хорошей процентной ставке годовых хотя пао сбербанк где я являюсь постоянным клиентом постоянно брала кредиты имею хорошую кредитную историю получаю зарплату предложило мне процентную ставку под поэтому выражаю искреннюю признательность главному менеджеру операционисту ао россельхозбанк отделение липецк т вой анастасии а которая помогла мне в решении моей проблемы в частности благодарю за грамотную консультацию по ипотеке и последующее обслуживание в банке спасибо анастасия а за ваш профессионализм в работе за неравнодушное отношение к клиенту за ваш труд отзывчивость и терпение успехов в работе вам карьерных высот
1,Банк работает просто отвратительно халатно и медлено!,имею в банке пенсионную карту в ноябре месяце судебным приставом был наложен арест на пенсионную карту предоставила в отделение банка на площадь плеханова дом постановление о снятие ареста именно в банке документ приняли сказали не переживать я пояснила что придет пенсия сказали все будете хорошо мы сейчас все отправим даже если арест не успеют снять то ваши деньги не спишутся не куда поступила пенсия арест так и не снят и по сей день а именно уже число и более того уже списалась часть суммы как же так если я числа предоставила постановление об отмене взыскания и разблокировки и по сей день арест так и не снят как я поняла в банке с этим беда с документо оборотом и взаимодействия с приставами прошу разобраться по какой причине вы не снимайте арест и почему числа вам все предоставили постановление но сумма уже списалась приставам я не знаю это не банк а просто ужас я уже пожалела что перевела пенсию в этот банк
н,Рефинансирование ипотеки,добрый день я уже не знаю где уточнить по срокам одобрено рефинансирование ипотеки проведена оценка декабря сданы все документы сегодня декабря и тишина сколько необходимо времени чтобы рассмотреть готовые документы
1,Обращение,я я ва ольга клиент ао россельхозбанк уважаемые представители ао россельхозбанк я отправила заявление на спорную операцию в ао россельхозбанк карта банк принял мое обращение в работу в итоге ао россельхозбанк отказал в инициации процедуры тем самым нарушил мои права как клиента а также не уведомил меня об отказе со стороны банка эквайера на мою просьбу выслать мне отказ в письменной форме сотрудник ао россельхозбанк мне ничего предоставить не смог ао россельхозбанк нарушил регламент мпс разделом где описаны стадии опротестования операции где прописано что я имею право подать заявление не позднее дней с момента операции ао россельхозбанк проигнорировал и нарушил фз федеральныйзакон от фз о национальной платежной системе а также ао россельхозбанк проигнорировал письмо от цб т центральныйбанк российской федерации письмо от августа г т овозврате денежных средств за товар услугу ранее оплаченный с использованием платежной карты я стала жертвой компаний ао россельхозбанк уже делал возвратный платеж от этих компаний на основании невыполненных услуг я являюсь клиентом ао россельхозбанк давно и прошу что бы банк соблюдал мои права считаю действия сотрудников банка ответственных за решение моего вопроса недопустимыми в связи с вышесказанным прошу вас уважаемый ао россельхозбанк дать указания соответствующим структурам вашего ведомства рассмотреть мое обращение и принять соответствующие меры также прошу инициировать процедуру чарджбэк и передать мое заявление в банк эквайер довожу до вашего сведения что в случае неудовлетворения настоящего заявления в течение дней с момента его направления к вам я намерена написать досудебную претензию на имя президента председателя правления ао россельхозбанк подать жалобу в цб рф и ассоциацию российских банков и финансовому омбудсмену где соответственно последуют штрафы в вашу сторону подать жалобу в федеральную службу по надзору в сфере защиты прав потребителей обратиться с жалобой в мпс о вашем не соблюдении правил обратиться за помощью к юристам общероссийской общественной организации потребителей союз защиты прав потребителей финансовых услуг финпотребсоюз обратиться в региональные и федеральные сми в том числе и в сети интернет придав моему вопросу общественный характер
1,Арест денежных средств,здравствуйте россельхоз банк очень долго реагирует на списание денежных средств арест счета судебных приставов арест денежных средств был произведён года когда судебные приставы уже сняли с меня этот долг который был погашен через другой банк и по сей день года висит на карте этот долг а мне нужно заплатить кредит какой же долгий документооборот в этом банке как будто живём в каменном веке когда в других банках все снимают в течении х рабочих дней просьба решить этот вопрос так как я не знаю как теперь заплатить кредит
1,Электронный документооборот отсутствует,между россельхозбанком и службой судебных приставов заключен договор об электронном документообороте в части подачи сведений о счетах он работает в части наложения ареста работает а вот в части снятия взыскания и разблокировки счетов нет мое исполнительное производство было окончено ноября с ноября я вела переписку телефонные переговоры с различными представителями банка в том числе и здесь на сайте банки ру ответ был один обращайтесь к приставам информации о снятии ареста со счетов у нас нет я ждала до декабря и лишь декабря сотрудник отдела по работе с взысканиями спасибо ему громадное мне сообщил то электронно в россельхозбанке со счетов арест не снимается нужен исключительно бумажный носитель часов дороги в санкт петербург и обратно еще одна встреча с приставом взяла на бумаге привезла мне еще повезло что пристав не на сахалине век банк первой ки электронный документооборот не не слышали хочу вернуть выставленные мне тк банк искусственно затягивал решение вопроса о снятии ареста и вернуть мою кредитную историю в первоначальное кристально чистое состояние
1,"Внимание, обман",я являюсь клиентом обратилась в отделение что бы снять со счета деньги но выяснилось что договор уже скоро истекает и его необходимо переоформить во время оформления нового договора сотрудник банка убедил меня часть вклада разместить на лет под годовых я согласилась на размещение руб и каждый год вносить такую сумму в итоге договор страхования жизни с ооо альфа страхования жизнь для меня это стало открытие когда захотела снять деньги офиса этой страховой в санкт петербурге нет только в москве и оператор на телефоне деньги при расторжении договора не возвращают если я не внесу каждый год по то договор автоматически прекращается и деньги не возвращаются я теряю деньги в любом случае прочитала отзывы о страховой капец тысячи пострадавших по россии оператор и начисления процентов опроверг будет внимательны и желательно обходите стороной россельхозбанк
1,Где деньги?,в личном кабинете мтс оплачивал счет мобильного телефона во время оплаты после ввода кода появилось окно о том что оплата не прошла деньги на счет не поступили но со счета карты списаны дождавшись обработки транзакции я обратился в офис мтс где составил обращение о том что деньги были списаны но на счет телефона не поступили спустя двое суток сотрудники мтс мне ответили что деньги на счет оператора от банка не поступали и сказали дальнейшее поиски денег вести в банке обратился со своей проблемой в офис россельхозбанка сотрудник мне сказал что мне следует обратиться в офис мтс так как от банка деньги ушли к оператору я ответил что у оператора я уже был деньги к ним не приходили и они отправили меня решать данный вопрос в банк тогда сотрудник банка сказал что ничего сделать не может и посоветовал позвонить на горячую линию после долгих ожиданий ответа оператора мне удалось с ним связаться оператор посоветовал мне обратиться в офис на что я ответил что уже нахожусь в офисе и сотрудник офиса сказал звонить на горячую линию тогда оператор сказал чтобы я составил обращение со своей проблемой и оставил его в офисе обращение мной было написано в свободной форме и отдано сотруднику банка который сообщил что его рассмотрят в течении дней можно ли как то более оперативно разобраться со сложившейся ситуацией и вернуть деньги на счет карты
1,Завышенная ставка,здравствуйте оформил онлайн заявку в этот банк перезвонил менеджер проконсульнитровал по кредиту я просил тр на лет чётко был проговорен и сумма платежа больше о каких либо дополнительных услугах или увеличения сказано не было он предложил подойти в банк в банке ставка была увеличина до навязывалась страховка жизни в тр что меня не устраивает просто потеря времени и разочарование
1,Очень неудобный операционный офис,являюсь клиентом банка больше трех лет в целом меня устраивает и обслуживание и условия вкладов персонал грамотный и вежливый но есть претензия по поводу самого операционного офиса на проспекте пятилетки в чебоксарах это просто дикий кошмар и стыдобища что один из крупнейших российских банков имеет офис в таких условиях это простите просто колхоз и убожество сам офис расположен прямо напротив входной двери и вся толпа клиентов толчется на пятачке в квадратных метров тут же рядом продают трусы лифчики подушки какие то запчасти другие покупатели магазина ходят и толкают очередь вкладчиков и кредиторов нет ни стульев ни скамеек ни столиков тут же прямо на проходе располагается окно кассира и все посетители магазина а их обычно немало созерцают как выдают деньги никакого отдельного кабинета как в другом банке ни какой либо хотя бы жалкой ширмочки ничего глядите люди добрые какую сумму мне выдают и завидуйте ну нет у вас у банка денег хотя слабо верится снять отдельное помещение ну хотя бы окно выдачи и приема денег можно переместить в какой то отдельный закуток а не на проходе и на виду изумленной публики причем в этом же магазине у администрации есть отдельные помещения в части магазина где не толчется толпа левого народа мне вот например в ближайшее время нужно снять некую сумму и честное слово просто страшно идти в этот офис потому что мало того что толпа просто зевак покупателей магазина наблюдает процесс выдачи денег в кассе но и тут же в порядке живой очереди стоят и в затылок дышат другие вкладчики и наблюдают как счастливчик пересчитывает купюры и все это абсолютно на виду у всего магазина либо мне чтобы снять сумму надо тащиться в центральный офис через весь город что тоже очень неудобно хотя и там касса насколько я помню такая же открытая всем взорам но там она по крайней мере где то в стороне зала и ходят там посетители банка уважаемый россельхозбанк операционный офис это ваше лицо по которому судят о всей организации так вот офис на просп пятилетки это убогий совок и прошлый век такой офис можно простить какой нибудь микрозаймовой шараге но не крупнейшему российскому банку
1,Нет обещанного кэшбэка,когда пошли слухи что акция по карте мир ворд может завершиться заранее я декабря позвонил с этим вопросом на горячую линию сотрудница меня убедила что акция будет до декабря так как на сайте висела такая же информация я решил купить телефон на алиэкпресс сегодня уже декабря но кэшбэка до сих пор нет оценку пока не ставлю надеюсь скидка придет если бы мне по телефону сказали что акция закончилась я бы покупку не делал
н,Вопросы по акции JCB,здравствуйте не буду оригинальным но тоже остались вопросы по акции кешбека по кобейджинговым картам мир россельхозбанка акция была заявлена до декабря года да банк заранее прописал возможность остановить акцию в любой момент в этом плане претензий нет по факту выглядело это так в субботу ноября на сайте банка страница с акцией была отредактирована было срок проведения акции до декабря стало срок проведения акции до декабря в документах при этом все осталось по прежнему в понедельник декабря страница с акцией стала совсем недоступна в кц банка ответить о точных сроках акции не смогли в соцсети вконтакте на странице появилась информация от банка что за все покупки до ноября включительно будет начислен кешбек вчера пришел кешбек лично мне он пришел не полностью с одной транзакцией на произошла странность у меня сохранилась от банка от о том что с карты списана сумма а в выписке по карте эта транзакция числится почему то как авторизованная в результате за данную покупку кешбек не был начислен по остальным покупкам совершенным до все пришло правильно собственно вопросы каким образом авторизация от вдруг превратилась в почему банком принято решение выплачивать кешбек по покупкам до хотя в измененных условиях акции фигурировало окончание в связи с вышеизложенными причинами может ли банк произвести доначисление кешбека по данной конкретной операции на данный момент без оценки т к в целом банк свои обязательства по акции выполнил но вот завершить акцию достойно не смог возможно это техническая ошибка и банк сможет ее исправить в ручном режиме заранее благодарю за ответ
1,"Навязали страховку при оформлении ""пенсионного"" кредита",моя тёща пришла около в отделение г щучье курганской области отделение относится к челябинску для оформления пенсионного кредита ей было озвучено что кредит под и что ей как пенсионеру без страховки кредит не одобрят поэтому обязательно нужно взять страховку стоимость которой составляет руб при сумме кредита руб на руки выдали страховку включили в стоимость кредита за которую необходимо уплачивать проценты для пенсионера данный расклад является большой дополнительной нагрузкой при столь незначительной сумме кредита непонятно чем руководствовался сотрудник банка когда навязывал страховку пенсионеру которая по сути является не обязательной к тому же закон о защите прав потребителей запрещает обусловливать приобретение одних товаров или услуг приобретением других в позвонили на горячую линию россельхозбанка девушка не смогла ответить ни на один вопрос и отправила в любое отделение пришли в отделение в челябинске сотрудник банка сообщил о том что пакет документов не полный а именно отсутствует договор страхования заявление на подключение к интернет банку оно было подключено карту не выдали списали руб за обслуживание карты не подписано соглашение сотрудником банка есть подпись только на последней странице где печать первая страница искажает информацию о сумме и кредита получается что при выдаче кредита выдали только соглашение с кучей ошибок и рко на получение денег так же сотрудник банка сообщил о том что не может посмотреть часть данных о состоянии кредита так как они не были занесены в базу далее сообщил что мы можем отказаться от страховки но политика банка такова вы получите увеличение процентов в соответствии с соглашением но сумму страховки вам никто не вернёт только через суд несмотря на то что действует период охлаждения в случае отказа банком буду вынужден обратиться в суд за защитой нарушенных прав кроме возврата денежных средств по страховке в суд также будут заявлены исковые требования о взыскании со стороны банка компенсации морального вреда всех судебных расходов и в соответствии с ч ст закона о защите прав потребителей штрафом за несоблюдение в добровольном порядке прав потребителя
1,Запрет фото - и видеосъёмки в отделении,в операционном офисе во владикавказе висит табличка с запретом на фото и видеосъёмку со ссылкой на законодательные нормы в частности на этой табличке упоминаются ст конституции рф ст гк рф и ст фз о банках и банковской деятельности получается что операционисты россельхозбанка занимаются в этом отделении частной жизнью возможно что где нибудь в подсобках отделения находятся кровати где сотрудники отделения обустраивают свои личные отношения или кухня где они готовят борщ как россельхозбанк доверил банковскую тайну частным лицам которые запрещают другим пользоваться законными средствами получения информации ст конституции рф хорошо что эти частные лица не выкалывают глаза посетителям отделения чтобы сохранить банковскую тайну и свою частную жизнь а если серьёзно запрет на фото и видеосъёмку в отделении показывает правовую безграмотность и некомпетентность сотрудников банка
